famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN36	6.72654632213892	0.0370869701791076	1148	6.65378047886428	6.79931216541355	 A     
WGN63	6.73804368591964	0.0362747753950165	1148	6.66687139526153	6.80921597657776	 AB    
WGN38	6.75247524752457	0.0403889056448015	1148	6.67323089933462	6.83171959571452	 AB    
WGN39	6.89227347451867	0.0355481779819894	1148	6.82252679164746	6.96202015738988	  B    
WGN26	7.15513489991274	0.0369971977321822	1148	7.08254519310253	7.22772460672296	   C   
WGN15	7.49705831157486	0.035974069952905	1148	7.42647601478701	7.56764060836271	    D  
WGN07	7.53658536585339	0.0358460631815435	1148	7.46625422251966	7.60691650918713	    D  
WGN55	8.03057869506931	0.0356860530568871	1148	7.96056149681108	8.10059589332754	     E 
WGN46	8.1132232340598	0.0362737888564769	1148	8.04205287902243	8.18439358909717	     EF
WGN45	8.22632060302959	0.0381069770593217	1148	8.15155347303819	8.30108773302099	      F
