famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN39	0.332817143346888	0.00767328478228153	1103	0.317761260438701	0.347873026255074	 A    
WGN63	0.364151539189548	0.00780079953084806	1103	0.34884545741895	0.379457620960146	 A    
WGN26	0.402184940016631	0.00831873890945811	1103	0.385862600559899	0.418507279473364	  B   
WGN36	0.421700381089819	0.0079472668104106	1103	0.406106913372584	0.437293848807054	  B   
WGN38	0.473715576381064	0.00870467704797816	1103	0.456635981122126	0.490795171640002	   C  
WGN15	0.502060567604182	0.00779736844932128	1103	0.486761218017151	0.517359917191213	   CD 
WGN07	0.506988597491022	0.0076796363941968	1103	0.491920251976795	0.522056943005248	   CD 
WGN45	0.526997878332923	0.00869661511470777	1103	0.509934101530718	0.544061655135128	    DE
WGN46	0.530353609483747	0.00783049961093137	1103	0.514989252679603	0.545717966287891	    DE
WGN55	0.545443535048453	0.0077022159364316	1103	0.530330885829404	0.560556184267501	     E
