famID	emmean	SE	df	lower.CL	upper.CL	.group
WGN39	0.831940898757248	0.0102293255166321	962	0.811866532634979	0.852015264879517	 A    
WGN55	0.918127093268394	0.0102137282187421	962	0.898083335798461	0.938170850738328	  B   
WGN63	0.936344690854365	0.0105209111897006	962	0.915698107380359	0.956991274328371	  BC  
WGN15	0.973169062730554	0.0104228120344247	962	0.952714992277675	0.993623133183433	   CD 
WGN26	1.0082137750854	0.0107504123764327	962	0.987116810905404	1.02931073926539	    D 
WGN36	1.0737795208038	0.0107560445415435	962	1.05267150387705	1.09488753773056	     E
WGN46	1.08309998905245	0.0102517048906427	962	1.06298170490775	1.10321827319715	     E
WGN45	1.10315265020627	0.0109035882221543	962	1.08175508868942	1.12455021172312	     E
WGN38	1.10614053301152	0.0114021654753493	962	1.08376454703212	1.12851651899091	     E
WGN07	1.1157199965972	0.0104006149923118	962	1.09530948635262	1.13613050684179	     E
