marker1	r2	cM_1	marker2	cM_2	distance_cm
Chr03_5067480	0.149150510284078	114.364	Chr03_5067506	106.565	7.79900000000001
Chr03_5067480	0.439908253493858	114.364	Chr03_5067523	107.265	7.099
Chr03_5067480	0.101342783164836	114.364	Chr03_5397181	108.638	5.726
Chr03_5067480	0.102678493332553	114.364	Chr03_7750954	103.901	10.463
Chr03_5067480	0.359572492113309	114.364	Chr03_16716481	99.954	14.41
Chr03_5067480	0.152464791727913	114.364	Chr03_20191494	106.138	8.226
Chr03_5067480	0.361158273805197	114.364	Chr03_20367832	113.86	0.504000000000005
Chr03_5067480	0.102678493332553	114.364	Chr03_43589399	102.927	11.437
Chr03_5067480	0.102678493332553	114.364	Chr03_48001230	105.214	9.15000000000001
Chr03_5067480	0.374164571939787	114.364	Chr03_48001233	106.578	7.786
Chr03_5067480	0.309274931177333	114.364	Chr03_49658009	114.461	0.0969999999999942
Chr03_5067480	0.104839352833914	114.364	Chr03_49658012	106.868	7.49600000000001
Chr03_5067480	0.0883324325168978	114.364	Chr03_78858449	98.666	15.698
Chr03_5067480	0.443937738960161	114.364	Chr03_81481243	79.041	35.323
Chr03_5067480	0.0910557038096076	114.364	Chr03_83061593	76.64	37.724
Chr03_5067480	0.22461858344652	114.364	Chr03_84041899	90.668	23.696
Chr03_5067480	0.050647406387416	114.364	Chr03_84369763	87.971	26.393
Chr03_5067480	0.00160913282604311	114.364	Chr03_89127998	59.867	54.497
Chr03_5067480	0.136218388628514	114.364	Chr03_104631942	96.87	17.494
Chr03_5067480	0.22461858344652	114.364	Chr03_122754247	61.854	52.51
Chr03_5067480	0.0569960000554011	114.364	Chr03_131736727	71.724	42.64
Chr03_5067480	0.0503802975941758	114.364	Chr03_138198686	65.481	48.883
Chr03_5067480	0.0910557038096076	114.364	Chr03_144403311	80.083	34.281
Chr03_5067480	0.139375749114144	114.364	Chr03_146139460	83.88	30.484
Chr03_5067480	0.0675906786648263	114.364	Chr03_147264642	70.573	43.791
Chr03_5067480	0.0626173547631991	114.364	Chr03_148761731	69.782	44.582
Chr03_5067480	0.0622732925528803	114.364	Chr03_153682605	68.363	46.001
Chr03_5067480	0.0752479597114675	114.364	Chr03_157819808	66.403	47.961
Chr03_5067480	0.0872182845440092	114.364	Chr03_161965840	53.667	60.697
Chr03_5067480	0.0387164077240118	114.364	Chr03_182610723	55.615	58.749
Chr03_5067480	0.0500578559844042	114.364	Chr03_203252392	61.089	53.275
Chr03_5067480	0.0950558693920239	114.364	Chr03_204262200	58.478	55.886
Chr03_5067480	0.0563495401676435	114.364	Chr03_223573818	75.641	38.723
Chr03_5067480	0.0517328190827193	114.364	Chr03_253504777	68.618	45.746
Chr03_5067480	0.0466857843617056	114.364	Chr03_253901771	67.469	46.895
Chr03_5067480	0.0841681914958351	114.364	Chr03_257750499	65.92	48.444
Chr03_5067480	0.0823582040263992	114.364	Chr03_260622619	77.512	36.852
Chr03_5067480	0.037194568694905	114.364	Chr03_272215949	56.562	57.802
Chr03_5067480	0.152464791727913	114.364	Chr03_282134175	76.431	37.933
Chr03_5067480	0.0575886034323785	114.364	Chr03_288115286	76.926	37.438
Chr03_5067480	0.136182190812997	114.364	Chr03_328577776	92.273	22.091
Chr03_5067480	0.0988884406959011	114.364	Chr03_328779163	90.004	24.36
Chr03_5067480	0.139375749114144	114.364	Chr03_329286548	93.137	21.227
Chr03_5067480	0.000283902343158717	114.364	Chr03_331096261	55.229	59.135
Chr03_5067480	0.126859344214858	114.364	Chr03_332901753	63.566	50.798
Chr03_5067480	0.152464791727913	114.364	Chr03_351990389	76.277	38.087
Chr03_5067480	0.0652388836114243	114.364	Chr03_403099777	72.34	42.024
Chr03_5067480	0.100034194437953	114.364	Chr03_407009024	71.557	42.807
Chr03_5067480	0.0459574211338275	114.364	Chr03_412668567	56.855	57.509
Chr03_5067480	0.0162109515328091	114.364	Chr03_413046308	57.411	56.953
Chr03_5067480	0.0373886943560584	114.364	Chr03_415029712	50.883	63.481
Chr03_5067480	0.0289867238476199	114.364	Chr03_415944371	49.783	64.581
Chr03_5067480	0.000873216683849965	114.364	Chr03_426131698	42.896	71.468
Chr03_5067480	0.00258480986224723	114.364	Chr03_429845490	41.1	73.264
Chr03_5067480	0.0209484824618251	114.364	Chr03_434603093	46.862	67.502
Chr03_5067480	8.3059643999657e-05	114.364	Chr03_443514001	24.279	90.085
Chr03_5067480	0.00703185210251953	114.364	Chr03_460492300	25.517	88.847
Chr03_5067480	0.152467044858881	114.364	Chr03_460492444	23.36	91.004
Chr03_5067480	0.0113428521180855	114.364	Chr03_460492494	24.485	89.879
Chr03_5067480	0.00160913282604311	114.364	Chr03_472946539	19.92	94.444
Chr03_5067480	0.00160913282604311	114.364	Chr03_476822024	32.325	82.039
Chr03_5067480	0.0111490810642494	114.364	Chr03_478692208	16.515	97.849
Chr03_5067480	0.132989164427807	114.364	Chr03_485636868	9.287	105.077
Chr03_5067480	0.216129815355698	114.364	Chr03_490542098	5.418	108.946
Chr03_5067480	0.00254710719090805	114.364	Chr03_498108343	0.898	113.466
Chr03_5067480	0.155765248965736	114.364	Chr03_507391526	6.136	108.228
Chr03_5067480	0.176950888356431	114.364	Chr03_507391564	0	114.364
Chr03_5067480	0.0301107699584572	114.364	Chr03_513591530	3.476	110.888
Chr03_5067506	0.493289838164034	106.565	Chr03_5067523	107.265	0.700000000000003
Chr03_5067506	0.891133789120459	106.565	Chr03_5397181	108.638	2.07300000000001
Chr03_5067506	0.10995524433619	106.565	Chr03_7750954	103.901	2.664
Chr03_5067506	0.370996713528355	106.565	Chr03_16716481	99.954	6.611
Chr03_5067506	0.977366808206692	106.565	Chr03_20191494	106.138	0.426999999999992
Chr03_5067506	0.283904040124146	106.565	Chr03_20367832	113.86	7.295
Chr03_5067506	0.10995524433619	106.565	Chr03_43589399	102.927	3.63799999999999
Chr03_5067506	0.10995524433619	106.565	Chr03_48001230	105.214	1.351
Chr03_5067506	0.358082138164393	106.565	Chr03_48001233	106.578	0.0130000000000052
Chr03_5067506	0.377625433655548	106.565	Chr03_49658009	114.461	7.896
Chr03_5067506	0.0938196852808442	106.565	Chr03_49658012	106.868	0.302999999999997
Chr03_5067506	0.218706227399982	106.565	Chr03_78858449	98.666	7.899
Chr03_5067506	0.121423354786426	106.565	Chr03_81481243	79.041	27.524
Chr03_5067506	0.505390179218156	106.565	Chr03_83061593	76.64	29.925
Chr03_5067506	0.214945603290476	106.565	Chr03_84041899	90.668	15.897
