lg	map	group	left	center	right	locus	max_lod	famID	r2	mu	alpha	gamma	trait	env	year
2	CP	2_CP	12.111	65.287	114.793	NA	3.31	WGN26	16	6.34823	0.31457	NA	feekes_coded	tli	2017
2	DP	2_DP	33.181	58.945	65.231	DP_Chr02_274704624	3.45	WGN36	12.9	6.999585	NA	-0.392825	feekes_coded	tli	2017
3	DP	3_DP	109.578	129.578	129.578	DP_Chr03_42742623	5.4	WGN46	65.8	7.42241	NA	-0.90636	feekes_coded	tli	2017
5	DP	5_DP	27.579	85.729	98.384	DP_Chr05_153821474	9.44	combined	NA	NA	NA	NA	feekes_coded	tli	2017
5	DP	5_DP	27.579	53.444	139.248	NA	6.35	WGN38	61.1	7.084135	NA	-0.908195	feekes_coded	tli	2017
9	CP	9_CP	0	6.177	21.377	CP_Chr09_95651880	2.88	WGN15	9.9	6.08851	-0.17526	NA	feekes_coded	tli	2017
12	DP	12_DP	103.753	139.814	139.814	NA	5.62	WGN46	65.5	7.41694	NA	0.90307	feekes_coded	tli	2017
13	DP	13_DP	41.217	41.438	41.598	DP_Chr13_337044446	5.04	WGN38	21	7.031295	NA	-0.499225	feekes_coded	tli	2017
15	DP	15_DP	93.519	102.585	102.585	DP_Chr15_521971228	3.97	WGN26	13.1	6.307045	NA	-0.282825	feekes_coded	tli	2017
17	CP	17_CP	0	3.852	14.684	NA	21.58	combined	NA	NA	NA	NA	feekes_coded	tli	2017
17	DP	17_DP	0	0	21.813	DP_Chr17_314914761	15.19	combined	NA	NA	NA	NA	feekes_coded	tli	2017
17	CP	17_CP	0	1.852	26.444	CP_Chr17_324713190	3.76	WGN26	14.6	6.328535	0.299475	NA	feekes_coded	tli	2017
17	DP	17_DP	0	9.349	31.206	NA	4.29	WGN36	16.4	6.944245	NA	-0.435605	feekes_coded	tli	2017
17	CP	17_CP	0	14.684	28.498	NA	4.33	WGN55	16.2	6.481385	0.395565	NA	feekes_coded	tli	2017
21	DP	21_DP	62.996	70.403	83.515	DP_Chr21_203177933	3.71	WGN26	12.1	6.295655	NA	-0.277055	feekes_coded	tli	2017
